model_name,feature_name,rep_idx,baseline_auc,permuted_auc,auc_drop
logistic,gamma_CP_rx1,1,0.943653250773994,0.928173374613003,0.0154798761609908
rf,gamma_CP_rx1,1,0.935603715170279,0.937151702786378,-0.0015479876160992
logistic,gamma_CP_rx2,1,0.943653250773994,0.940557275541796,0.00309597523219818
rf,gamma_CP_rx2,1,0.935603715170279,0.930650154798762,0.00495356037151706
logistic,a_FP_RHCP_rx1,1,0.943653250773994,0.944272445820434,-0.000619195046439702
rf,a_FP_RHCP_rx1,1,0.935603715170279,0.923219814241486,0.0123839009287926
logistic,a_FP_LHCP_rx1,1,0.943653250773994,0.93250773993808,0.0111455108359134
rf,a_FP_LHCP_rx1,1,0.935603715170279,0.925696594427245,0.00990712074303413
logistic,a_FP_RHCP_rx2,1,0.943653250773994,0.939938080495356,0.00371517027863777
rf,a_FP_RHCP_rx2,1,0.935603715170279,0.934984520123839,0.000619195046439702
logistic,a_FP_LHCP_rx2,1,0.943653250773994,0.941795665634675,0.00185758513931888
rf,a_FP_LHCP_rx2,1,0.935603715170279,0.936222910216718,-0.000619195046439702
logistic,gamma_CP_rx1,2,0.943653250773994,0.93312693498452,0.0105263157894739
rf,gamma_CP_rx1,2,0.935603715170279,0.936842105263158,-0.0012383900928794
logistic,gamma_CP_rx2,2,0.943653250773994,0.924458204334365,0.0191950464396285
rf,gamma_CP_rx2,2,0.935603715170279,0.936222910216718,-0.000619195046439591
logistic,a_FP_RHCP_rx1,2,0.943653250773994,0.937461300309598,0.00619195046439636
rf,a_FP_RHCP_rx1,2,0.935603715170279,0.914241486068112,0.0213622291021671
logistic,a_FP_LHCP_rx1,2,0.943653250773994,0.93374613003096,0.00990712074303413
rf,a_FP_LHCP_rx1,2,0.935603715170279,0.927554179566563,0.00804953560371524
logistic,a_FP_RHCP_rx2,2,0.943653250773994,0.938080495356037,0.00557275541795665
rf,a_FP_RHCP_rx2,2,0.935603715170279,0.934365325077399,0.00123839009287929
logistic,a_FP_LHCP_rx2,2,0.943653250773994,0.944891640866873,-0.00123839009287929
rf,a_FP_LHCP_rx2,2,0.935603715170279,0.938699690402477,-0.00309597523219818
logistic,gamma_CP_rx1,3,0.943653250773994,0.938080495356037,0.00557275541795677
rf,gamma_CP_rx1,3,0.935603715170279,0.934365325077399,0.00123839009287918
logistic,gamma_CP_rx2,3,0.943653250773994,0.940557275541796,0.00309597523219818
rf,gamma_CP_rx2,3,0.935603715170279,0.937461300309598,-0.00185758513931888
logistic,a_FP_RHCP_rx1,3,0.943653250773994,0.941795665634675,0.001857585139319
rf,a_FP_RHCP_rx1,3,0.935603715170279,0.919195046439628,0.0164086687306502
logistic,a_FP_LHCP_rx1,3,0.943653250773994,0.938699690402477,0.00495356037151717
rf,a_FP_LHCP_rx1,3,0.935603715170279,0.928792569659443,0.00681114551083595
logistic,a_FP_RHCP_rx2,3,0.943653250773994,0.942414860681115,0.00123839009287929
rf,a_FP_RHCP_rx2,3,0.935603715170279,0.934365325077399,0.00123839009287929
logistic,a_FP_LHCP_rx2,3,0.943653250773994,0.945510835913313,-0.00185758513931877
rf,a_FP_LHCP_rx2,3,0.935603715170279,0.93374613003096,0.00185758513931888
logistic,gamma_CP_rx1,4,0.943653250773994,0.940557275541796,0.00309597523219818
rf,gamma_CP_rx1,4,0.935603715170279,0.937461300309598,-0.00185758513931888
logistic,gamma_CP_rx2,4,0.943653250773994,0.940557275541796,0.00309597523219818
rf,gamma_CP_rx2,4,0.935603715170279,0.935603715170279,1.11022302462516e-16
logistic,a_FP_RHCP_rx1,4,0.943653250773994,0.93312693498452,0.0105263157894738
rf,a_FP_RHCP_rx1,4,0.935603715170279,0.931578947368421,0.00402476780185756
logistic,a_FP_LHCP_rx1,4,0.943653250773994,0.925696594427245,0.0179566563467493
rf,a_FP_LHCP_rx1,4,0.935603715170279,0.939318885448916,-0.00371517027863766
logistic,a_FP_RHCP_rx2,4,0.943653250773994,0.941176470588235,0.00247678018575859
rf,a_FP_RHCP_rx2,4,0.935603715170279,0.937461300309598,-0.00185758513931888
logistic,a_FP_LHCP_rx2,4,0.943653250773994,0.942414860681115,0.00123839009287929
rf,a_FP_LHCP_rx2,4,0.935603715170279,0.93312693498452,0.00247678018575848
logistic,gamma_CP_rx1,5,0.943653250773994,0.937461300309598,0.00619195046439636
rf,gamma_CP_rx1,5,0.935603715170279,0.937461300309598,-0.001857585139319
logistic,gamma_CP_rx2,5,0.943653250773994,0.941176470588235,0.00247678018575859
rf,gamma_CP_rx2,5,0.935603715170279,0.938080495356037,-0.00247678018575848
logistic,a_FP_RHCP_rx1,5,0.943653250773994,0.942414860681115,0.00123839009287918
rf,a_FP_RHCP_rx1,5,0.935603715170279,0.928173374613003,0.00743034055727554
logistic,a_FP_LHCP_rx1,5,0.943653250773994,0.923219814241486,0.0204334365325078
rf,a_FP_LHCP_rx1,5,0.935603715170279,0.931269349845201,0.00433436532507736
logistic,a_FP_RHCP_rx2,5,0.943653250773994,0.943034055727554,0.000619195046439702
rf,a_FP_RHCP_rx2,5,0.935603715170279,0.938699690402477,-0.00309597523219807
logistic,a_FP_LHCP_rx2,5,0.943653250773994,0.944891640866873,-0.0012383900928794
rf,a_FP_LHCP_rx2,5,0.935603715170279,0.936842105263158,-0.00123839009287929
logistic,gamma_CP_rx1,6,0.943653250773994,0.932507739938081,0.0111455108359133
rf,gamma_CP_rx1,6,0.935603715170279,0.939938080495356,-0.00433436532507747
logistic,gamma_CP_rx2,6,0.943653250773994,0.918266253869969,0.0253869969040248
rf,gamma_CP_rx2,6,0.935603715170279,0.934984520123839,0.000619195046439702
logistic,a_FP_RHCP_rx1,6,0.943653250773994,0.931269349845201,0.0123839009287926
rf,a_FP_RHCP_rx1,6,0.935603715170279,0.917647058823529,0.0179566563467491
