scope,model_name,n_samples,n_los,n_nlos,status,auc,brier_score,accuracy
B,baseline_plus_rx1,56,35,21,ok,0.907482993197279,0.12741757047603,0.821428571428571
B,baseline_plus_rx2,56,35,21,ok,0.912925170068027,0.116589007777412,0.839285714285714
B,baseline_plus_dual,56,35,21,ok,0.910204081632653,0.120019457611513,0.803571428571429
C,baseline_plus_rx1,56,21,35,ok,0.829931972789116,0.173007022171519,0.732142857142857
C,baseline_plus_rx2,56,21,35,ok,0.842176870748299,0.153477835185528,0.803571428571429
C,baseline_plus_dual,56,21,35,ok,0.85578231292517,0.142087110143822,0.857142857142857
B+C,baseline_plus_rx1,112,56,56,ok,0.891900510204082,0.132252924641069,0.821428571428571
B+C,baseline_plus_rx2,112,56,56,ok,0.895089285714286,0.12656640591385,0.803571428571429
B+C,baseline_plus_dual,112,56,56,ok,0.904974489795918,0.123163581973838,0.821428571428571
