config,auc,accuracy,f1,ece,delta_auc_vs_combined
r_CP_only,0.56875,0.715151515151515,0.625,0.0352616267845409,-0.29375
a_FP_only,0.785416666666667,0.786363636363636,0.853333333333333,0.0853030958168793,-0.0770833333333334
combined,0.8625,0.768181818181818,0.688524590163935,0.136253397779116,0
