case_name,scenario,pos_id,x_m,y_m,label,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,baseline_score,proposed_score,baseline_pred,proposed_pred,baseline_wrong,proposed_wrong,rescued_by_proposed,harmed_by_proposed,score_delta_proposed_minus_baseline
CP_caseB,B,6,4.5,-1.75,1,-67.7422121002213,6.57181998346424,65.9154294316696,2.68539279253602,3.4148537790324,-0.237459758088597,1.78932216944281,0.32937558198004,0.0731759344509683,0.342947339628986,0.0704636486060411,0.927433467988692,0.119413109414771,1,0,0,1,0,1,-0.808020358573921
CP_caseC,C,16,1.5,-0.75,1,-64.1105508535936,2.8044397732548,15.3690259495972,3.40417923401674,3.45957704564755,0.095665902498196,2.39584826671367,0.336331116334375,0.257106223019901,0.409092925514405,0.0790881571895511,0.711760646764516,0.473365584374404,1,0,0,1,0,1,-0.238395062390112
CP_caseC,C,22,0.75,-0.25,1,-63.0371572411868,3.76964770069921,24.9321107362077,2.72852270546394,3.06265645071029,0.317158147212878,1.99094411538369,0.275335626052067,0.136895438374176,0.318862216655979,0.055488153704527,0.780138657214143,0.386342818344093,1,0,0,1,0,1,-0.393795838870051
CP_caseB,B,2,1.5,-1.75,1,-67.477276204018,6.44282141849858,71.408320088693,3.33823194037139,3.56121522111815,0.750719142919264,0.719988610860292,0.257943176293421,0.128277873744673,0.289205400924424,0.213779287685853,0.907397510779959,0.923060137334728,1,1,0,0,0,0,0.0156626265547684
CP_caseB,B,3,2.25,-1.75,1,-67.8266183257758,7.0376457029001,117.505497146777,3.02103985670593,3.21480356629659,0.540716991187168,1.71996713606137,0.288905479491629,0.136615346354216,0.393903327536546,0.127797485413966,0.983981502796368,0.967059766495526,1,1,0,0,0,0,-0.0169217363008419
CP_caseB,B,4,3,-1.75,1,-67.1094609243408,3.86580733880332,38.2258229300583,2.68047180191423,2.23710744687014,0.545836097636117,1.63962328576024,0.231465167346482,0.0940622630291847,0.407568030438079,0.18361704272494,0.776755361200951,0.675368082290354,1,1,0,0,0,0,-0.101387278910597
CP_caseB,B,5,3.75,-1.75,1,-67.6990592278524,6.33506965757456,90.5083343824969,2.82605151312571,2.87718170979988,-0.15801076725729,1.63498260232158,0.291019649612112,0.0598863181393882,0.259804886101057,0.111857716448311,0.95055379930074,0.550481058215199,1,1,0,0,0,0,-0.400072741085541
CP_caseB,B,7,5.25,-1.75,0,-73.7402802971616,2.72371169685281,15.3176034473175,3.9908321089995,4.0913286522249,0.19380489157641,0.686988654440719,0.206336340096606,0.125680842623223,0.365608043985741,0.217493876556104,0.127780597789531,0.296506359592117,0,0,0,0,0,0,0.168725761802586
CP_caseB,B,8,0.75,-1.25,1,-67.0643403515219,4.32750557364988,28.5387725945659,3.75508595996378,5.11791545464654,1.14975742631263,0.67720437489183,0.331143379432282,0.158919366403981,0.287627545903632,0.266130636902166,0.605237767354696,0.670821782607683,1,1,0,0,0,0,0.0655840152529877
CP_caseB,B,9,1.5,-1.25,1,-64.8835797791159,7.09759981045239,85.4368005257398,3.04120315273824,4.06370693522946,0.534491937828971,1.40388152874669,0.244151749851066,0.18551117657886,0.317922002133932,0.217786160422748,0.959227648570158,0.962701801887642,1,1,0,0,0,0,0.00347415331748446
CP_caseB,B,10,2.25,-1.25,1,-64.9699515554151,5.38639802531025,58.8254186419229,2.8119439794587,3.08827161275814,0.230431851318336,1.70924956063973,0.267644051781136,0.166779243456541,0.344664829484547,0.0711058657163312,0.918099489206131,0.778590981610113,1,1,0,0,0,0,-0.139508507596018
CP_caseB,B,11,3,-1.25,1,-65.5733167241172,4.69866584833269,46.4022328337043,2.54386609271763,2.42315424073445,0.351200682314462,1.52033750254291,0.257882967570354,0.17044835804586,0.308009264553804,0.107253278127376,0.865691488981198,0.815260086135085,1,1,0,0,0,0,-0.050431402846113
CP_caseB,B,12,3.75,-1.25,1,-68.2505247216528,4.40826636247585,36.7530289883864,2.88406841736721,2.68618618971753,0.563703933128707,1.4507610635488,0.30265990656672,0.183864254544861,0.382409941292719,0.0634374451364658,0.705597528448252,0.617081655107664,1,1,0,0,0,0,-0.0885158733405871
CP_caseB,B,13,4.5,-1.25,0,-79.5775722643392,1.36507328808805,5.18453524907741,7.87737914978815,6.86967531409808,-0.572306602282194,0.723815994134112,0.110266481291145,0.0197099774910406,0.217150772381158,0.00428737540841256,0.06769297710923,0.0144260422305318,0,0,0,0,0,0,-0.0532669348786981
CP_caseB,B,14,5.25,-1.25,0,-72.1243624308547,3.88136665191131,29.4908980631564,5.00263108957352,5.12006511838833,0.427744337345077,1.12962684062055,0.237465697494454,0.0748005757895936,0.420462969179573,0.0371050232720352,0.389126555363102,0.115394464105944,0,0,0,0,0,0,-0.273732091257158
CP_caseB,B,15,0.75,-0.75,1,-65.1575284863606,4.34972815663847,30.1000834650174,3.25958389341412,4.34453110726614,0.141514211758006,1.19630696516138,0.256203923335644,0.205353386430477,0.294652758116336,0.24422214901471,0.727599332107673,0.686502712359211,1,1,0,0,0,0,-0.0410966197484613
CP_caseB,B,16,1.5,-0.75,1,-63.9673145077575,4.5543088835226,37.7944080762602,2.98428997771104,3.72497222991674,0.175567173447591,2.75691982904637,0.367169716517278,0.341594220488263,0.409627370082148,0.0690519511813393,0.846146376662396,0.725945682755997,1,1,0,0,0,0,-0.120200693906399
CP_caseB,B,17,2.25,-0.75,1,-64.6913337512379,3.98498729520973,32.2761806154532,2.54936886803296,2.32783141532406,0.436416812450924,1.64588789518281,0.349540726717717,0.242863159018967,0.392022238724352,0.105391111139134,0.814826254601651,0.800869439396056,1,1,0,0,0,0,-0.0139568152055947
CP_caseB,B,18,3,-0.75,0,-65.9664985701891,5.70594140965465,59.5356930546302,2.62264968111656,2.96948332955666,0.290845509357814,1.40353421689952,0.393902129299843,0.225041565147198,0.444701616080999,0.111507253576831,0.935745420253933,0.874696301200849,1,1,1,1,0,0,-0.0610491190530839
CP_caseB,B,19,3.75,-0.75,0,-68.3241244135102,3.66879269741274,18.6834360285822,3.10177950100038,3.84127488441968,0.280243320831364,1.44775780585459,0.268898192628369,0.0602121226334828,0.24887021833512,0.0488221310054283,0.454374195697309,0.0971289500940102,0,0,0,0,0,0,-0.357245245603299
CP_caseB,B,20,4.5,-0.75,0,-72.1882295599056,3.73723940872915,21.2653517023651,3.69982467486236,4.5503013831694,0.476477226744233,1.33684738869799,0.291184810313472,0.0751683528243467,0.264265760933308,0.036213725609557,0.216004311015686,0.0217968010390802,0,0,0,0,0,0,-0.194207509976606
CP_caseB,B,22,0.75,-0.25,1,-63.0343276156632,5.50087578057937,61.1933801052869,2.14235317275795,2.22236190765463,0.317091818621197,1.98910037861002,0.310194213168612,0.28705841920578,0.327600137146172,0.16547611200984,0.953026393576397,0.959427430163819,1,1,0,0,0,0,0.00640103658742208
CP_caseB,B,23,1.5,-0.25,1,-62.9106841625601,7.42555916081209,109.248656564885,2.52396961515625,2.76621595917478,0.266299956017718,1.21644895475826,0.365063962744766,0.34718106378997,0.381582418426363,0.293986626066207,0.998327599037036,0.999792741304079,1,1,0,0,0,0,0.00146514226704297
CP_caseB,B,24,2.25,-0.25,1,-63.3917054292956,5.47713531651,43.90134752103,2.31500864554703,2.68312355847331,0.40939070018119,1.11081607464972,0.294467251300359,0.254699626586838,0.322603222413457,0.197257075001534,0.893093206040137,0.972432300111455,1,1,0,0,0,0,0.0793390940713183
CP_caseB,B,25,3,-0.25,0,-66.5637031120575,4.84489095578825,34.2785666356618,3.25970659917789,4.95003343677382,0.397215052363639,1.31057134625762,0.282946084800309,0.131752565443043,0.321329237725806,0.225120034244462,0.647243087112524,0.508556300176724,1,1,1,1,0,0,-0.138686786935799
CP_caseB,B,26,3.75,-0.25,0,-69.4773612590536,3.84822858121914,20.3221151140974,3.15758197962636,4.13726363458185,0.505888337408846,0.977799680404893,0.383034663179524,0.114491064960275,0.402092573805661,0.0669346590237122,0.407722858148529,0.150635860729071,0,0,0,0,0,0,-0.257086997419458
CP_caseB,B,28,5.25,-0.25,0,-71.2188952678562,4.63873203998245,30.9336761230833,3.93830863655953,5.07672465283681,0.590122971441305,1.3821215164367,0.229622731599216,0.128994061839278,0.345805801062266,0.0535418470093357,0.362930427820247,0.204348072421314,0,0,0,0,0,0,-0.158582355398933
CP_caseB,B,29,0.75,0.25,1,-64.2666792834197,7.14191585760707,66.8868008929642,2.28880802000209,3.20644454548117,1.24122051545543,0.317501475435287,0.32571111915222,0.229654239626829,0.321158534447715,0.277286692869878,0.924674708976231,0.990245113438093,1,1,0,0,0,0,0.0655704044618621
CP_caseB,B,30,1.5,0.25,1,-64.0048509362148,6.20508952265222,54.4043446711689,2.6351360848193,3.22977910641822,0.718836165778259,0.421710337275977,0.37651663927442,0.347944119402695,0.370994709898763,0.334763356192848,0.903131770940324,0.995475043175519,1,1,0,0,0,0,0.0923432722351955
CP_caseB,B,31,2.25,0.25,1,-63.9671444425505,6.79429647951876,73.9153801417507,2.19008542335247,2.29560304176297,0.651793810434081,0.70997939662816,0.304704216716531,0.242966482585243,0.31032410626466,0.212410519007562,0.959234754916605,0.989676084523482,1,1,0,0,0,0,0.0304413296068771
CP_caseB,B,32,3,0.25,0,-67.0725235630371,5.84816169887017,47.8576209420069,2.66115554044344,3.87583098612483,0.671333453896976,0.927878507360356,0.330360261630045,0.175688511911301,0.291546495703209,0.140313206622492,0.754522545804278,0.716510992775959,1,1,1,1,0,0,-0.0380115530283193
CP_caseB,B,33,3.75,0.25,0,-69.8247882614176,3.69577973784391,18.671095642751,3.33560791354666,4.60108812575063,0.677812645033558,0.833016250848919,0.355555157692281,0.11974746909661,0.419902457229667,0.0638414139804751,0.328996838242293,0.298314697832085,0,0,0,0,0,0,-0.0306821404102077
CP_caseB,B,35,5.25,0.25,0,-71.6879139498598,4.79687718351834,32.1277094940016,3.56793076329139,5.20001475983353,0.628084556326829,1.30376945544452,0.299072159277254,0.164243013963661,0.34335532041642,0.0785907267458981,0.329941054701325,0.212490683206654,0,0,0,0,0,0,-0.117450371494671
CP_caseB,B,36,0.75,0.75,1,-66.684684151421,6.33329832940502,50.8646093486104,2.62064780595407,3.99029533399025,0.873904012708618,0.0297860837325104,0.293940388924657,0.227468798031317,0.414435384478384,0.424810117579012,0.780506251796625,0.982002055445174,1,1,0,0,0,0,0.201495803648549
CP_caseB,B,37,1.5,0.75,1,-66.8983797979089,5.11877062047321,40.176692562736,3.05251751894271,3.92361549276303,1.31331776828931,-0.00578005607616621,0.404268907281644,0.283554018433699,0.356896437473539,0.271129567989977,0.723025129343334,0.976028095437593,1,1,0,0,0,0,0.253002966094259
CP_caseB,B,38,2.25,0.75,1,-66.9157543495037,4.82591584750012,38.2509893245467,2.71545875131745,3.35691218131493,1.3176366369459,0.373194531726614,0.402030678937979,0.171974989978139,0.376249681853353,0.215742494905161,0.709349621612971,0.90796870696442,1,1,0,0,0,0,0.198619085351449
CP_caseB,B,39,3,0.75,0,-67.2906864532241,4.41282137282436,29.7456615579942,3.00416462019391,4.06519433685934,0.97906454401422,0.548388845532686,0.434588377105616,0.198584342266901,0.405315578537845,0.150184476745376,0.596194671260369,0.774373221972374,1,1,1,1,0,0,0.178178550712005
CP_caseB,B,40,3.75,0.75,0,-68.9134157640688,3.68997091219597,19.1887361484877,3.42453162121478,4.51709589174307,0.596792308719203,0.995004402860803,0.262294535076014,0.0561778243763438,0.223516871879921,0.0496806859619725,0.399803247103759,0.160762901191865,0,0,0,0,0,0,-0.239040345911894
CP_caseB,B,41,4.5,0.75,0,-72.5626731502278,3.25010373387262,15.2204859479717,4.50539313522802,6.48410923625881,0.834906508478982,0.830218619628539,0.281128160584015,0.0829938389790611,0.211744341657656,0.0198005616686072,0.160096262488755,0.056595139156142,0,0,0,0,0,0,-0.103501123332613
CP_caseB,B,42,5.25,0.75,0,-70.1277555828436,4.37538385455254,28.3848622831596,3.6335222866617,5.14620099884106,0.753323117115444,1.15020500338267,0.255681941256211,0.106347316270742,0.251716125721256,0.0609708799526204,0.389766269092246,0.213541876176234,0,0,0,0,0,0,-0.176224392916013
CP_caseB,B,44,1.5,1.25,1,-69.5156238873498,4.47881004296975,38.243971538077,5.35637736110544,6.44084886658402,1.95070265138022,-0.14845612194104,0.313595461297965,0.124387435219987,0.159108998591189,0.171722359156348,0.553097987918257,0.866811083853515,1,1,0,0,0,0,0.313713095935258
CP_caseB,B,45,2.25,1.25,1,-68.9647796553529,4.27257169958632,36.7754361090631,3.78098158626884,4.34243706303411,1.37484941959414,-0.0503832617373541,0.345614187564115,0.0838113016960008,0.219455698218455,0.151173733395314,0.611639986425143,0.700947283678205,1,1,0,0,0,0,0.0893072972530617
CP_caseB,B,46,3,1.25,1,-67.9824320808553,5.11711324757654,45.0355622724131,2.63679102010351,2.82860969596971,1.46063378293863,0.390405125575921,0.305964214422405,0.140827567141875,0.257540211907298,0.0854215663319223,0.751931403371687,0.877012422903218,1,1,0,0,0,0,0.125081019531531
CP_caseB,B,47,3.75,1.25,1,-67.6901677337929,6.19483424071738,57.4760975018199,2.77549721185285,3.62431068216462,1.20130833031312,0.866423138351703,0.365722704190527,0.200405565744121,0.248404995686619,0.0495344506209514,0.826163254122221,0.831839079879553,1,1,0,0,0,0,0.00567582575733172
CP_caseB,B,48,4.5,1.25,0,-78.7873922111837,2.10215534213829,9.64964717720941,6.78749658799395,6.50598260563722,0.74312312454814,-0.0745341130193276,0.271713055597154,0.0399945099567416,0.0938140953733848,0.00515276903765665,0.0701996759982865,0.0472103865936374,0,0,0,0,0,0,-0.0229892894046491
CP_caseB,B,49,5.25,1.25,0,-70.5483284301818,4.17917129834991,22.7599334868419,3.7512759461097,5.75175564506369,1.12382323391284,0.945755492132702,0.387993758671541,0.0596215057014782,0.207508699657263,0.025600006339778,0.298820766335638,0.0593012188885587,0,0,0,0,0,0,-0.239519547447079
CP_caseB,B,52,2.25,1.75,1,-72.1265611084104,4.74935311849544,42.4539622955857,5.00204512243115,5.74730913037209,1.21027951008887,-0.114475078338371,0.381335959452624,0.175462632506741,0.0841121066608804,0.0385475411945588,0.501689661215172,0.621053248683826,1,1,0,0,0,0,0.119363587468654
CP_caseB,B,53,3,1.75,1,-70.8420475864524,3.69982931109764,37.1697766780992,4.22991016270801,4.62049634014805,1.38774257590279,-0.18823403980718,0.394256727244182,0.0973480498167597,0.219253933224328,0.0347298302025358,0.515166586015268,0.525363614695983,1,1,0,0,0,0,0.0101970286807154
CP_caseB,B,54,3.75,1.75,1,-69.8245784950111,5.92243121739278,63.8050261700965,2.92190946248597,3.67442803487265,1.33067575091962,0.753471036840276,0.300771628697052,0.0707750839106431,0.248728384698669,0.0550433377956606,0.763213517961958,0.590788327364721,1,1,0,0,0,0,-0.172425190597237
CP_caseB,B,55,4.5,1.75,1,-67.83441936583,5.80196609102199,51.4281521130845,2.74198645485096,3.36180026895769,1.22136552635994,1.01598033330458,0.372126433453531,0.220163426603674,0.390723972739401,0.0769565308958647,0.791565851308753,0.842298098375871,1,1,0,0,0,0,0.0507322470671182
CP_caseB,B,56,5.25,1.75,1,-67.0325631715865,6.67513274855874,61.9288057313439,2.64541967022624,3.46807422602032,0.892737462055846,1.02688142982812,0.419068027303834,0.135769079632693,0.253929411047466,0.0506734281775527,0.923438103612492,0.563827363565418,1,1,0,0,0,0,-0.359610740047074
CP_caseC,C,3,2.25,-1.75,0,-67.013267318568,4.94993488931334,44.0317403643995,2.74123494643289,2.780296139032,0.54070826556544,1.37944937042094,0.284369603959317,0.119781596194412,0.325022962162283,0.196871165047655,0.799764299470488,0.724833956005527,1,1,1,1,0,0,-0.0749303434649605
CP_caseC,C,4,3,-1.75,0,-71.1325261032698,3.57020883293977,27.093843134786,6.4932861071463,7.34745438091541,0.0261177903018104,1.69869565619871,0.121873057912502,0.0590764724515576,0.364196766744983,0.047640417321349,0.452912786313079,0.0829348232609357,0,0,0,0,0,0,-0.369977963052143
CP_caseC,C,5,3.75,-1.75,0,-73.3529223546121,2.6071739314701,13.8595873107286,4.49881468374286,4.91977582697819,0.00364799653652808,2.39828322983836,0.233027970780069,0.0636663061469889,0.338604605014131,0.0112472602632779,0.186542803272684,0.0120132916503405,0,0,0,0,0,0,-0.174529511622344
CP_caseC,C,6,4.5,-1.75,0,-69.715645986503,2.17013722614833,8.87588514141678,4.21417069219084,4.50280600206357,-0.371405786102733,1.02432293937971,0.281292833700384,0.102122489312157,0.285094920759279,0.296890291281142,0.358648170401685,0.336141340559115,0,0,0,0,0,0,-0.0225068298425702
CP_caseC,C,7,5.25,-1.75,0,-72.6905970344895,2.27660950404993,10.5254373716132,4.38391814746669,4.80680696934606,0.426868945514504,1.67498043637569,0.175818041924665,0.0548810724039347,0.245419640874938,0.00906592383153464,0.193797388757848,0.0571395835073803,0,0,0,0,0,0,-0.136657805250468
CP_caseC,C,8,0.75,-1.25,1,-67.0650331954983,4.65307651600069,40.6667812250347,3.30929676789348,3.65580921271358,1.15199106362563,0.67763672896741,0.322288107373224,0.0861273633220439,0.291030211367525,0.26023828338291,0.748883716121503,0.829293790799878,1,1,0,0,0,0,0.0804100746783756
CP_caseC,C,9,1.5,-1.25,1,-64.8264586791602,3.48962915961803,18.8817353993614,2.69999719646217,2.93296859091319,0.686918477872862,1.43899935004893,0.376546136734391,0.260969049547984,0.313267462285594,0.193010502442661,0.655491106020466,0.768125130881684,1,1,0,0,0,0,0.112634024861218
CP_caseC,C,10,2.25,-1.25,0,-66.4819967624445,2.54987007505949,12.9331925117305,3.68882580842448,3.75835286099581,0.483455583870976,1.48191564092402,0.301421929487645,0.180598366753518,0.304109184519869,0.187008712332816,0.560438356163275,0.615967506246662,1,1,1,1,0,0,0.055529150083387
CP_caseC,C,12,3.75,-1.25,0,-70.5205813229491,3.82892582484875,27.3222645304456,3.60143010679617,4.00556020301929,0.342328764327052,2.17709496051148,0.204586861425299,0.133490154289966,0.210306076416913,0.0149799122082505,0.437046744908093,0.139395766346503,0,0,0,0,0,0,-0.29765097856159
CP_caseC,C,13,4.5,-1.25,1,-77.6419198446784,1.26837671011943,5.85013735044517,7.43710876207914,6.76300716568125,0.530459104588135,0.998143647999965,0.128462729204132,0.0575938282300214,0.23297348877244,0.0232842401617172,0.0336287231848424,0.0175253658042771,0,0,1,1,0,0,-0.0161033573805653
CP_caseC,C,14,5.25,-1.25,0,-80.0017823086724,1.42721867128111,8.27974121947208,8.94558490173591,6.36893723839126,-0.110182621197291,-0.124819568971088,0.0988673872404293,0.0385862931206579,0.143521990991733,0.0303551448117429,0.0661697353501307,0.166752908070492,0,0,0,0,0,0,0.100583172720362
CP_caseC,C,15,0.75,-0.75,1,-65.1605193872649,2.55533913625019,13.2544174610696,3.7436470691639,3.73882665921549,0.141205545395562,1.19693843818763,0.210807368452509,0.182634900337338,0.288117969339888,0.208214904643945,0.600093544825071,0.73411483926318,1,1,0,0,0,0,0.134021294438109
CP_caseC,C,17,2.25,-0.75,0,-64.5841114215007,3.50356022280531,22.6322308205954,2.99984531721526,3.7603537470287,0.371573838843188,1.56349283813792,0.293529815431878,0.245301593989628,0.330460082529904,0.181796144409951,0.740785297547252,0.852934965055661,1,1,1,1,0,0,0.11214966750841
CP_caseC,C,18,3,-0.75,0,-71.7854550935605,3.67089275645888,19.8647186554228,4.20400678786231,5.94825928963938,0.520740407174521,0.75890850771821,0.211292176320318,0.0546076407690436,0.280462693644874,0.0808645676552605,0.190205573053039,0.0553309275700892,0,0,0,0,0,0,-0.13487464548295
CP_caseC,C,19,3.75,-0.75,0,-74.331995350851,2.62422823754874,13.5610205605301,5.34309962678624,6.34032671357121,-0.176802601981556,1.6206713656735,0.228562913848373,0.0693427352722358,0.276303502634006,0.017277300825454,0.135486344855898,0.0176546784175687,0,0,0,0,0,0,-0.117831666438329
CP_caseC,C,20,4.5,-0.75,0,-78.1480149530705,1.3053338443291,7.20460782803789,7.05466445297953,6.01229399127234,-0.000106929456278776,0.43199827627841,0.12775303246834,0.0358731907066441,0.0876646682377348,0.100834647166593,0.0926789247488029,0.0858611916479164,0,0,0,0,0,0,-0.0068177331008865
CP_caseC,C,21,5.25,-0.75,0,-76.5330783100694,2.66197354663173,11.8247902355058,6.01504600657612,7.13073520312943,-0.586169464805825,0.711693696346417,0.224699746980788,0.115560747221791,0.220362422484168,0.1475896890035,0.0898084386456745,0.0185909041400899,0,0,0,0,0,0,-0.0712175345055846
CP_caseC,C,23,1.5,-0.25,1,-63.0691186937948,4.83911943698005,34.9166713439803,2.52589259126223,2.5520491382294,0.576117400445452,0.996931144762039,0.377719226305636,0.210922164921908,0.374437714851901,0.190947228946856,0.864069604509303,0.915231935104929,1,1,0,0,0,0,0.0511623305956257
CP_caseC,C,24,2.25,-0.25,0,-81.1112042346535,2.31390242103599,8.16090516726298,6.5070342049929,9.78154297866091,0.335441791856862,0.338252940588577,0.30776382790948,0.205269798173855,0.354051506048225,0.229472578833687,0.0121153011061264,0.0273599283935445,0,0,0,0,0,0,0.0152446272874181
CP_caseC,C,25,3,-0.25,0,-80.2268723527287,1.57246162686826,6.7733712720907,9.056785940758,9.30755471673547,0.275691171488144,0.362053806693129,0.316585228771544,0.257622754120585,0.182987263364738,0.023030220424991,0.0284991280712694,0.0595236053331092,0,0,0,0,0,0,0.0310244772618399
CP_caseC,C,26,3.75,-0.25,0,-81.2698804483726,2.17516996753197,10.825903943738,8.62459086961458,8.37957184999827,-0.55726097413482,0.730786667073606,0.0701755046027115,0.0555659036248178,0.164590374563001,0.045075958905891,0.0439276430898279,0.0154084927414521,0,0,0,0,0,0,-0.0285191503483759
CP_caseC,C,27,4.5,-0.25,0,-82.4501832578557,1.81497012724897,9.98837073404361,9.1462942168194,7.21176825161855,-0.528886326676406,0.364589807908498,0.0565539251282476,0.0529411648583523,0.0490768945313646,0.0336315243663142,0.0318266860414075,0.0533870913383916,0,0,0,0,0,0,0.0215604052969841
CP_caseC,C,28,5.25,-0.25,0,-78.847818603535,2.08916016563931,8.66614188472062,7.78950101896526,7.97613870893779,-0.642434587628712,0.559918730271322,0.138264803845199,0.150228536667024,0.141384810966931,0.127715116486349,0.0557963751227135,0.0436867597012142,0,0,0,0,0,0,-0.0121096154214993
CP_caseC,C,29,0.75,0.25,1,-64.266670810153,3.74929855636196,23.2380798746343,2.86788718380396,3.55078258951409,1.24313152574727,0.317504906761655,0.309825120455414,0.12817232111431,0.292407005948785,0.254541697310083,0.759456239534916,0.916977518716773,1,1,0,0,0,0,0.157521279181857
CP_caseC,C,30,1.5,0.25,1,-63.8449380374249,5.01431408841006,38.3908178488545,2.65204203812393,2.79656294959552,0.73111164288902,0.346381715465843,0.366823559812725,0.306597925172749,0.357728958750253,0.322964991735906,0.884107272159018,0.996785561648905,1,1,0,0,0,0,0.112678289489887
CP_caseC,C,32,3,0.25,0,-74.4024514081967,1.22550955158768,5.30722223568044,7.11017859218439,6.56673357723488,0.704420047045299,0.554458724433326,0.208496454353171,0.0451920298017967,0.290929167839139,0.20081288527471,0.154823058711128,0.202180274118704,0,0,0,0,0,0,0.0473572154075758
CP_caseC,C,33,3.75,0.25,0,-77.133407631888,3.56484392251738,27.2676891766186,5.87760205843011,4.75375122029004,-0.127353282982088,1.02040728730874,0.0704231509191218,0.0273482403016867,0.093937145756631,0.00810310398970727,0.242715378222299,0.0995438560030679,0,0,0,0,0,0,-0.143171522219231
CP_caseC,C,34,4.5,0.25,0,-76.1618487685861,1.39431361392021,5.74358066104138,5.73451198309047,5.22874432627409,1.07877491693368,0.553505356722759,0.205206388185049,0.0241017943533906,0.144078790082308,0.0627205030704749,0.108180223416748,0.123043482763071,0,0,0,0,0,0,0.0148632593463228
